"superficieDE","NPOP7KM","NM7KM","ND7KM","NPOP5KM","NM5KM","ND5KM","NPOP3KM","NM3KM","ND3KM","routes_longueur_7Km","nombre_routes_7KM","routes_longueur_5Km","nombre_routes_5KM","routes_longueur_3Km","nombre_routes_3KM","DIST_route_PLUS PROCHE","DIST_DOUARS_PLUS PROCHE","MEAN ALTITUDE","MEAN PENTE"
9.36387,220.809335531526,306.604298063977,8.21157782028964,6777,1176,22,2761,507,8,116.029259866643,15.1542790987671,51.5137605587829,9.21911586772613,18.1733959450479,6.9197775172745,11.4220066941638,18.0311496749032,212.239571785847,7.82883568104756
1.63768,143.464772367745,169.252571887062,6.41301228983002,2181,385,8,366,65,1,48.4888865364036,9.3498503066332,21.3389385377498,6.0197228772148,9.16058117628975,4.73647180615168,8.50397322887709,47.1853097216504,109.654233877031,6.10021358874903
3.81055,106.258948821795,98.3497168181508,5.07858283255199,758,115,3,427,64,1,26.5193207014424,5.31519311320155,13.3827260841596,2.37886580797276,5.50123944553799,1.22865469807759,7.1112272299754,49.7353942240362,361.624676446187,6.5135487587615
12.2977,238.939826512762,377.52024809206,7.74546267495199,5314,991,12,1185,289,2,139.956007061169,16.7503639576542,53.2612361917362,9.03071664492409,19.4931355821546,6.72793834252502,9.3895571604449,45.2476840075274,409.907512679227,7.62604070179693
10.2613,223.893780348198,353.59315311355,7.11389130854694,7547,1425,18,766,238,1,137.43391541137,16.2996661487772,57.0707694717345,9.70464487410634,18.525862411938,6.1032151746146,10.7581715891909,47.8918022694094,451.951155481108,6.81230913471626
2.83589,155.314970679843,185.286201892004,7.24514960229048,4081,694,18,2166,371,8,63.0273912995322,10.2090118241588,30.6334899731273,6.59270981489025,11.0565629538851,4.27800368129042,15.6849794675781,40.1667474819522,114.326484227142,5.11851199123398
0.556762,162.085343647749,227.65897099246,6.70299842836727,4589,759,14,2313,403,6,60.6538918447141,10.8215159937725,27.4409829461817,6.79327909120368,11.6833941724052,4.73647180615168,12.3423092456606,33.6747232021751,168.246345802535,8.7729963039824
71.1683,84.694867206773,77.6161540659314,2.94476606120695,1531,259,5,408,63,1,16.4401658933427,2.88688661024538,7.21918430259205,1.59753955386447,3.15380155138875,0.743491774985175,17.8030828489356,56.8571587772211,230.824029668476,4.42102258286481
34.4203,221.329353198365,313.072984387259,7.37380818787575,7964,1194,19,4437,581,8,116.709609316827,16.7503639576542,50.1092877440934,10.0854408413629,19.8625290069053,8.06898833939714,10.493237937789,33.2310656680908,317.383498044982,7.38092294667518
13.0293,193.253681143276,312.973899799656,6.10813523100386,3617,889,7,1442,328,1,131.85766484259,16.8107060202179,47.5260863647531,9.26469089193385,17.5567418477792,6.45086024461792,8.17362881354824,39.9630975197775,381.981228964627,5.85623531039464
2.14005,130.332913517386,121.696940508819,5.26460875399433,2869,355,9,1077,126,2,66.439659078221,9.89695483560291,31.2898836861471,6.9197775172745,11.8661267040215,4.73647180615168,14.3860816741071,40.0120948270914,373.655187330367,10.4604239658115
5.92324,224.927301134086,366.103788527076,7.11389130854694,7132,1345,15,1098,287,1,141.203923680552,16.9153010038401,50.7486851760324,9.06282388387636,17.4761452104232,6.1440369201676,6.87309209392873,54.4308153277683,393.014152707043,5.47141830493687
4.99327,214.129590755176,260.496437064148,9.7363067726792,6516,921,33,2534,338,13,84.6831491877177,10.923394589982,35.6078396669862,6.62711015219498,13.6233279760048,4.59322595812653,9.84462534390885,11.5783337176127,229.685909884002,9.33644228095114
2.28879,133.159165430984,165.501179044913,4.47456858972272,3646,497,8,950,149,1,56.05345339129,9.7753814775829,26.500055356477,6.59270981489025,9.69304142980012,4.1028210151304,11.7464199102101,42.696311288874,199.085076229437,9.9077177079181
5.97588,252.864669972125,391.587047563823,8.09792149943453,6667,1234,17,2115,295,5,130.153134870296,15.5484168925647,51.4739405812202,9.20379350898915,15.9785565868791,6.26303939216163,13.9147709487325,52.4556328899983,403.733980740371,10.4011512067841
0.621215,165.272233200851,244.863401406295,6.10813523100386,3100,588,5,1967,387,3,77.2011705047182,16.6283943828243,32.3757046215463,9.35413170054896,10.0649277681173,5.93362073943278,6.96664027386485,46.6759149809544,47.5156149935944,6.13731917001245
12.1403,172.974283824795,213.160175040656,7.74546267495199,3479,598,18,1619,271,6,72.6893010646914,11.7130395930454,30.2957048726426,6.45086024461792,8.98505516047591,4.00991563658571,11.8179528393004,33.5040726290005,192.325557057896,5.52240507232828
5.388,173.054277297071,278.869369967625,6.10813523100386,5142,835,13,2977,482,7,84.9746681523599,12.3895628063629,34.4950527334851,7.18623908994112,15.4261469216061,5.45639552591273,12.9552473046775,39.0288619945417,258.947190597313,4.09406231946873
7.42543,147.946657181812,210.233727305481,4.47456858972272,2802,843,7,1415,352,3,93.1240164418076,13.3392492509016,47.15972411339,8.62034963713331,18.057386663369,6.98106495240885,9.86121284756391,39.7888634240583,294.255896656397,8.04280916421588
12.0263,204.320139588941,267.952269057419,6.26256279129323,7411,1165,15,3687,523,7,130.179037887053,17.6418659053123,55.3637681554869,10.4641940752949,20.3369222975497,7.63390041419535,7.92778376272398,30.0303414501688,276.155291071837,3.25050270578545
6.88812,204.03883129158,301.4878494652,7.62384726823923,5797,1060,17,2374,447,6,122.15862042402,15.5309148713365,51.3098008069196,9.21911586772613,19.6379476398275,6.30161234813408,12.5190239764347,37.7167502858647,374.248986468197,8.33231556185421
